item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57
1,A,A,A,D,A,C,C,A,B,A,D,D,C,D,C,B,A,A,C,D,C,D,D,A,B,B,B,D,D,D,D,D,C,A,C,B,C,C,D,B,B,B,A,B,C,D,C,A,A,B,C,D,D,D,B,A,B
2,B,D,A,C,B,B,B,B,B,B,B,B,C,A,B,D,B,A,D,B,A,B,A,A,B,C,B,C,B,A,B,D,B,B,B,D,D,B,B,C,C,B,B,B,B,C,A,C,A,A,B,C,D,C,C,D,D
3,B,D,C,C,B,C,A,A,A,A,B,A,D,C,B,A,B,B,D,B,D,A,D,A,D,C,A,C,D,D,C,D,A,C,B,D,C,B,B,A,B,A,B,A,B,B,B,B,D,A,B,D,D,D,C,A,C
4,D,C,A,C,C,D,A,A,A,A,C,D,C,C,C,D,A,C,A,D,B,C,B,B,B,D,B,A,D,A,B,D,B,D,A,A,C,A,A,A,C,C,A,B,A,A,B,D,A,B,A,A,D,D,A,D,A
5,D,D,A,C,D,B,D,C,B,B,D,C,A,C,C,C,B,D,D,B,D,A,A,B,C,B,A,C,B,A,B,C,B,C,B,C,B,C,B,C,B,A,A,B,A,C,A,C,D,D,C,C,A,C,B,D,D
6,B,B,B,D,C,A,C,A,C,D,B,B,D,A,B,B,C,B,D,B,D,D,B,D,B,C,D,B,A,A,B,B,D,A,A,C,D,D,A,A,D,A,B,C,D,D,A,B,A,D,C,D,D,A,A,C,B
7,D,D,C,C,A,B,B,A,C,B,D,D,A,A,B,D,D,C,C,D,A,A,B,D,B,A,D,A,C,D,A,A,C,C,A,C,D,A,B,A,B,A,A,B,C,C,A,C,A,C,A,C,A,B,C,C,C
8,D,D,A,A,B,D,C,C,A,C,A,C,C,D,B,C,B,A,D,B,D,D,A,C,B,A,D,D,C,D,C,C,A,A,D,B,D,B,C,C,C,A,D,A,D,B,B,B,C,D,D,A,B,D,D,C,B
9,B,B,C,B,A,C,C,B,A,C,C,A,B,C,B,C,B,A,A,B,D,D,A,C,C,D,C,D,A,D,D,C,C,B,C,B,C,D,C,D,C,D,A,B,B,D,C,C,B,D,A,C,A,A,B,A,D
10,B,C,A,B,D,A,B,A,D,C,B,A,B,C,C,C,A,C,D,A,A,A,A,A,B,C,B,B,D,B,D,A,C,A,B,D,B,B,C,B,A,D,D,C,B,C,D,B,D,D,B,D,B,A,A,B,B
11,D,B,D,A,A,C,C,B,C,B,C,D,A,D,C,A,A,B,D,A,D,D,A,A,C,D,A,C,D,A,B,D,A,C,D,C,B,D,B,A,A,B,C,C,C,D,C,B,B,A,B,D,C,C,A,B,C
12,D,D,B,B,C,C,C,B,A,B,A,D,A,A,A,A,C,D,A,D,C,A,C,A,C,D,C,D,D,A,A,B,A,D,B,D,A,A,D,B,A,C,B,C,C,C,B,B,D,D,A,B,B,A,D,B,C
13,B,B,A,C,A,A,D,D,D,C,A,A,B,B,B,D,B,C,D,A,C,C,C,A,D,B,D,C,A,A,D,D,C,D,A,D,C,D,A,D,D,D,A,B,A,C,C,C,A,C,B,A,A,B,C,B,C
14,D,A,C,C,B,D,D,B,D,B,B,A,B,A,A,B,A,D,C,A,B,C,A,C,B,A,A,C,C,A,B,B,D,A,A,C,B,D,D,A,B,B,C,B,C,B,B,D,A,B,A,B,D,A,B,B,D
15,A,B,A,D,A,B,D,C,C,A,C,D,D,A,A,B,A,C,D,A,D,A,D,A,B,C,D,D,D,B,B,A,D,D,C,D,B,B,B,B,A,A,A,C,B,B,A,A,C,A,A,B,D,C,A,C,C
16,B,A,C,B,A,B,C,D,C,B,D,B,D,B,D,D,D,B,D,B,B,B,D,C,D,A,D,B,D,C,C,B,C,D,B,D,C,B,C,A,D,D,B,A,C,B,A,B,C,C,C,C,D,B,D,C,A
17,A,A,B,C,D,A,D,D,D,A,B,C,C,D,B,B,C,A,C,A,A,A,A,C,C,D,B,C,C,D,C,D,C,D,B,B,D,B,D,B,C,A,B,B,C,A,A,A,D,D,D,A,B,B,A,A,B
18,B,B,D,B,C,B,C,B,C,A,D,C,C,D,A,D,A,A,B,D,D,D,C,A,C,A,C,A,C,A,C,B,A,A,B,C,A,C,C,A,C,C,C,A,B,C,C,A,D,A,C,B,B,A,A,D,C
19,B,C,D,A,A,A,D,C,D,D,C,A,B,A,A,D,C,A,A,C,B,A,B,C,B,B,A,D,C,B,A,D,B,D,C,D,A,D,D,D,B,B,B,D,A,D,B,C,D,B,A,C,D,C,A,D,C
20,D,D,B,C,C,D,A,A,D,D,C,A,D,C,C,B,B,D,B,B,C,D,A,D,A,A,D,D,C,A,B,B,A,D,B,A,C,C,C,A,C,A,D,B,D,A,A,D,C,A,D,A,C,D,B,B,B
21,A,A,D,D,C,C,D,C,A,B,C,A,C,A,D,B,B,D,A,A,B,B,B,C,B,B,D,A,B,C,C,C,C,D,B,D,D,D,C,D,C,C,C,D,D,D,C,D,A,D,A,D,D,D,B,D,D
22,A,C,D,A,B,D,B,D,D,C,C,B,A,C,D,D,D,B,A,B,A,B,D,D,D,A,A,C,B,A,B,C,C,C,B,D,B,D,C,C,A,D,A,C,B,C,B,C,C,C,D,C,D,A,B,A,D
23,D,B,D,D,A,C,C,B,C,D,D,B,B,A,C,D,C,A,D,B,B,C,C,A,B,D,D,B,D,D,C,D,D,B,A,D,A,C,A,D,C,D,B,D,C,B,A,D,C,A,C,A,B,B,D,C,A
24,A,B,C,C,A,D,A,C,B,A,A,D,B,B,A,B,B,B,C,D,C,D,B,D,B,C,B,C,B,D,B,B,C,A,C,A,D,C,A,B,C,A,A,C,D,C,C,C,B,A,D,B,C,B,C,B,A
25,A,D,D,C,C,D,A,D,D,D,D,C,B,C,D,B,D,B,C,D,C,C,B,D,D,C,B,A,D,B,A,B,B,A,A,A,B,C,C,C,B,A,D,B,B,D,C,B,C,B,C,C,D,A,A,D,A
26,B,D,D,A,A,C,D,B,C,A,D,D,A,C,D,A,B,B,D,D,C,A,B,B,B,B,B,D,B,D,B,A,C,A,D,D,A,D,A,B,C,D,B,B,D,D,A,C,A,D,B,C,D,B,C,C,B
27,A,D,D,D,C,B,A,A,B,C,B,A,D,C,B,A,B,C,A,B,D,C,A,B,A,C,D,B,A,D,A,D,D,A,C,D,C,D,A,B,C,C,D,B,A,A,D,C,B,A,A,C,C,A,A,D,B
28,D,B,D,C,B,D,C,B,A,C,A,C,C,A,B,B,D,C,D,B,A,D,D,A,D,C,A,A,B,C,C,A,B,B,B,B,A,C,D,A,D,C,A,A,D,A,B,D,B,C,C,D,D,D,C,A,A
29,C,D,B,A,A,D,B,D,B,A,C,C,C,D,B,C,A,A,D,C,B,C,B,D,A,A,D,A,A,A,B,C,A,A,B,A,B,C,C,D,A,D,D,B,C,A,A,B,C,D,C,A,D,B,B,C,B
30,B,C,C,A,B,B,C,A,A,C,A,A,A,A,C,A,A,D,B,D,A,B,C,C,A,B,B,B,D,C,D,A,D,C,A,D,C,D,A,A,A,B,B,A,D,B,A,A,D,B,C,B,B,B,C,B,D
31,B,D,A,C,A,A,D,D,D,D,A,B,C,D,A,D,D,B,C,B,D,B,A,B,D,D,C,D,B,D,C,B,D,C,B,D,C,D,D,B,A,C,C,B,C,D,C,C,B,A,B,B,A,C,B,C,C
32,B,A,B,D,D,B,B,D,B,D,A,D,D,A,D,B,D,A,D,C,B,B,C,B,D,D,A,C,B,A,A,D,D,C,B,A,A,D,B,A,D,A,A,A,C,B,A,A,B,B,A,D,B,D,C,A,A
33,A,B,B,D,C,C,A,C,B,A,A,B,B,D,C,A,D,C,C,D,C,A,A,B,A,D,A,B,A,D,A,C,B,B,D,A,A,B,B,A,C,A,B,B,C,A,C,C,D,C,D,D,D,C,A,B,C
34,B,A,C,C,B,B,C,A,D,B,D,A,A,D,D,D,B,C,A,A,C,C,C,A,A,D,A,D,B,B,D,D,C,B,B,D,B,A,B,A,C,A,C,A,C,B,B,B,C,C,D,A,C,D,C,D,A
35,B,B,C,C,A,C,B,C,B,D,D,A,B,C,C,B,C,B,C,D,D,B,C,B,D,D,C,D,C,D,B,B,B,A,C,D,C,A,C,A,B,C,B,B,B,B,A,D,C,D,D,C,D,C,A,D,C
